species,climate,month,coverage_ratio,total_density,max_density
dandelion,temperate,1,0.0005,1.9288291075211443,1.4894848016178668
dandelion,temperate,2,0.0005,3.712868899911006,2.2272529933202785
dandelion,temperate,3,0.0009,7.126170833280588,3.3307167849709787
dandelion,temperate,6,0.0127,48.852422496448014,10.420696714593648
dandelion,temperate,12,0.1,1721.1661164902584,32.86858146802859
dandelion,arid,1,0.0005,1.4458694191913155,1.006525113288038
dandelion,arid,2,0.0005,2.094436377218201,1.0390620302752962
dandelion,arid,3,0.0005,3.0369696742677683,1.0982505236206528
dandelion,arid,6,0.0015,9.279991362833027,1.4648239885156418
dandelion,arid,12,0.0301,86.34710549636102,3.779970175728405
dandelion,tropical,1,0.0005,1.2245989078249013,0.7852546019216239
dandelion,tropical,2,0.0005,1.5014326654270964,0.6431757430120583
dandelion,tropical,3,0.0005,1.8417958576348723,0.5468841915598508
dandelion,tropical,6,0.001,3.403540705574758,0.40253795545890464
dandelion,tropical,12,0.0026,11.63295002648395,0.3671688137409961
kudzu,temperate,1,0.0005,1.4450276593298954,0.8662546583220184
kudzu,temperate,2,0.0005,2.092581992470591,0.8099577880764816
kudzu,temperate,3,0.0009,3.0326538883256045,0.8054476243148435
kudzu,temperate,6,0.0026,9.240743032869092,1.0274712829044355
kudzu,temperate,12,0.0208,85.29053897424316,3.108768066604933
kudzu,arid,1,0.0005,1.3554681102511859,0.7766951092433089
kudzu,arid,2,0.0005,1.8409089483680425,0.6629044026611679
kudzu,arid,3,0.0009,2.5018212722634563,0.6081570270654105
kudzu,arid,6,0.0022,6.286212271531498,0.627553733488591
kudzu,arid,12,0.0145,39.648973282253515,1.3065744314524126
kudzu,tropical,1,0.0005,1.8772443372603576,1.2984713362524807
kudzu,tropical,2,0.0005,3.5261465552615556,1.7386251982000593
kudzu,tropical,3,0.0013,6.620936292771296,2.3911554655132696
kudzu,tropical,6,0.0091,43.30511396659084,6.933183009904436
kudzu,tropical,12,0.0494,1419.8140005941916,40.59446398473569
purple_loosestrife,temperate,1,0.0005,1.8573981459225481,1.2980408368330478
purple_loosestrife,temperate,2,0.0005,3.452018456669263,1.7193133948222004
purple_loosestrife,temperate,3,0.0009,6.415178412481514,2.3182059186898787
purple_loosestrife,temperate,6,0.0132,40.901841859622266,6.107327166855464
purple_loosestrife,temperate,12,0.129,1477.2805001595552,32.25018560212176
purple_loosestrife,arid,1,0.0005,1.422061960294955,0.8627046512054545
purple_loosestrife,arid,2,0.0005,2.0260554295315893,0.785500011035425
purple_loosestrife,arid,3,0.0009,2.888813254573167,0.7490733511301638
purple_loosestrife,arid,6,0.0021,8.38600408647086,0.8025516031949506
purple_loosestrife,arid,12,0.0344,70.54428321508854,1.6187445053897782
purple_loosestrife,tropical,1,0.0005,1.6271461622514742,1.067788853161974
purple_loosestrife,tropical,2,0.0005,2.65234386726954,1.1799397759958121
purple_loosestrife,tropical,3,0.0009,4.327097439747126,1.3448839002306758
purple_loosestrife,tropical,6,0.0022,18.805994573231125,2.31447820103835
purple_loosestrife,tropical,12,0.0807,348.8274272842891,9.880306554394531
